"time","v"
0,-88.0145
0.1,-80.0658710733512
0.2,-72.1538539674525
0.3,-64.2271514492457
0.4,-56.2691728258746
0.5,-48.2369439148235
0.6,-47.9199982651762
0.7,-47.0590495973393
0.8,-45.4459345002471
0.9,-42.7960895210735
1,-38.5093260575819
1.1,-31.0709160564272
1.2,-16.6280076495252
1.3,7.96565960817135
1.4,24.9198475562975
1.5,28.7741868303177
1.6,30.1318549614192
1.7,31.1971645738205
1.8,32.1540738832527
1.9,33.0202180090373
2,33.8031630047117
2.1,34.5098861359042
2.2,35.1471578604645
2.3,35.7213236008968
2.4,36.2383768697632
2.5,36.7038802961271
2.6,37.12286986541
2.7,37.4999953951959
2.8,37.8394559114537
2.9,38.1450621010628
3,38.4201754185074
3.1,38.6679037015286
3.2,38.8909775579968
3.3,39.0918517172613
3.4,39.2727230931488
3.5,39.4355506343376
3.6,39.5820914818347
3.7,39.7139183620721
3.8,39.8324390281662
3.9,39.9389112754496
4,40.0345114828126
4.1,40.1202082744052
4.2,40.1969360823553
4.3,40.265528685147
4.4,40.3267320376371
4.5,40.3812062824395
4.6,40.4295893468867
4.7,40.4724127752353
4.8,40.51018611124
4.9,40.5433436615571
5,40.5723141142051
5.1,40.5974664647795
5.2,40.6191331896544
5.3,40.6376429128193
5.4,40.6532586922512
5.5,40.6662398977221
5.6,40.6768265012347
5.7,40.685234829982
5.8,40.691656353682
5.9,40.6962658528222
6,40.6992259583905
6.1,40.7006875703357
6.2,40.7007888458616
6.3,40.6996553882426
6.4,40.6974018806589
6.5,40.694133725052
6.6,40.6899479032409
6.7,40.684933626987
6.8,40.6791729703868
6.9,40.6727413179877
7,40.6657079602401
7.1,40.6581367254492
7.2,40.6500863924323
7.3,40.641611107721
7.4,40.632760802724
7.5,40.6235815078145
7.6,40.6141156607039
7.7,40.6044024027805
7.8,40.5944778459631
7.9,40.5843753050289
8,40.5741255138525
8.1,40.5637568283009
8.2,40.5532954067851
8.3,40.5427653731295
8.4,40.5321889699214
8.5,40.5215866994266
8.6,40.5109774494898
8.7,40.5003786093836
8.8,40.4898061783242
8.9,40.4792748645237
9,40.468798175045
9.1,40.4583884992236
9.2,40.4480571861177
9.3,40.4378146154611
9.4,40.4276702630011
9.5,40.4176327610599
9.6,40.407709954647
9.7,40.3979089534208
9.8,40.3882361798244
9.9,40.3786974137604
10,40.3692978341084
10.1,40.3600420573567
10.2,40.3509341735936
10.3,40.3419777800577
10.4,40.3331760124359
10.5,40.3245315741071
10.6,40.3160467635037
10.7,40.3077234997295
10.8,40.2995633465605
10.9,40.291567534962
11,40.283736984234
11.1,40.2760723218843
11.2,40.2685739023179
11.3,40.2612418244397
11.4,40.2540759482396
11.5,40.2470759104196
11.6,40.2402411391432
11.7,40.2335708679637
11.8,40.2270641489829
11.9,40.2207198652874
12,40.2145367427078
12.1,40.2085133609459
12.2,40.2026481641054
12.3,40.1969394706635
12.4,40.1913854829138
12.5,40.1859842959115
12.6,40.1807339059483
12.7,40.1756322185838
12.8,40.1706770562563
12.9,40.1658661654951
13,40.1611972237562
13.1,40.1566678458987
13.2,40.1522755903226
13.3,40.1480179647824
13.4,40.1438924318951
13.5,40.1398964143535
13.6,40.1360272998621
13.7,40.1322824458084
13.8,40.1286591836811
13.9,40.1251548232477
14,40.1217666565021
14.1,40.1184919613927
14.2,40.1153280053422
14.3,40.112272048567
14.4,40.1093213472068
14.5,40.106473156272
14.6,40.1037247324171
14.7,40.1010733365495
14.8,40.0985162362784
14.9,40.0960507082145
15,40.0936740401237
15.1,40.0913835329449
15.2,40.0891765026748
15.3,40.0870502821289
15.4,40.0850022225819
15.5,40.0830296952946
15.6,40.0811300929322
15.7,40.0793008308781
15.8,40.0775393484506
15.9,40.075843110024
16,40.0742096060612
16.1,40.0726363540604
16.2,40.0711208994214
16.3,40.069660816234
16.4,40.0682537079939
16.5,40.0668972082482
16.6,40.0655889811756
16.7,40.0643267221028
16.8,40.0631081579624
16.9,40.0619310476938
17,40.0607931825905
17.1,40.0596923865968
17.2,40.0586265165574
17.3,40.0575934624203
17.4,40.0565911473979
17.5,40.0556175280876
17.6,40.0546705945537
17.7,40.0537483703739
17.8,40.0528489126517
17.9,40.0519703119971
18,40.0511106924776
