assay_chembl_id	#Compounds
CHEMBL1042690	27
CHEMBL1260557	27
CHEMBL1799748	27
CHEMBL1115186	27
CHEMBL1115187	27
CHEMBL1116908	27
CHEMBL1121077	27
CHEMBL869839	27
CHEMBL863591	27
CHEMBL768687	26
CHEMBL5732169	26
CHEMBL4813111	26
CHEMBL4825323	26
CHEMBL5048865	26
CHEMBL5033455	26
CHEMBL3797009	26
CHEMBL4195808	26
CHEMBL4037438	26
CHEMBL4040124	26
CHEMBL1021966	26
CHEMBL1036929	26
CHEMBL1033089	26
CHEMBL1053229	26
CHEMBL1275133	26
CHEMBL1291783	26
CHEMBL2032798	26
CHEMBL1772211	26
CHEMBL1105740	26
CHEMBL2411830	26
CHEMBL5370215	26
CHEMBL5360427	26
CHEMBL5163410	25
CHEMBL4333772	25
CHEMBL4822453	25
CHEMBL954296	25
CHEMBL944827	25
CHEMBL5732259	25
CHEMBL5617770	25
CHEMBL2320519	25
CHEMBL3226991	25
CHEMBL3227234	25
CHEMBL2215146	25
CHEMBL3762972	25
CHEMBL3811490	25
CHEMBL4310495	25
CHEMBL4183120	25
CHEMBL1112305	25
CHEMBL1045845	25
CHEMBL1054533	25
CHEMBL1054534	25
CHEMBL1036922	25
CHEMBL1036923	25
CHEMBL1036924	25
CHEMBL1036925	25
CHEMBL1036926	25
CHEMBL1036927	25
CHEMBL1036928	25
CHEMBL1671552	25
CHEMBL1648563	25
CHEMBL2024805	25
CHEMBL2014817	24
CHEMBL2060137	24
CHEMBL1954401	24
CHEMBL1174018	24
CHEMBL1174019	24
CHEMBL1051701	24
CHEMBL1051709	24
CHEMBL1053972	24
CHEMBL1055806	24
CHEMBL1924405	24
CHEMBL886338	24
CHEMBL5381577	24
CHEMBL5347182	24
CHEMBL3868329	24
CHEMBL4021976	24
CHEMBL768699	24
CHEMBL3294033	24
CHEMBL2186062	24
CHEMBL2328742	24
CHEMBL3270057	24
CHEMBL3296720	23
CHEMBL2396015	23
CHEMBL2382572	23
CHEMBL2216323	23
CHEMBL3056066	23
CHEMBL3047075	23
CHEMBL2091536	23
CHEMBL5373257	23
CHEMBL5373258	23
CHEMBL1120514	23
CHEMBL1110020	23
CHEMBL2026860	23
CHEMBL1670069	23
CHEMBL1068017	23
CHEMBL1047320	23
CHEMBL1048874	23
CHEMBL1273916	23
CHEMBL1273917	23
CHEMBL841101	23
CHEMBL865039	23
CHEMBL886667	23
CHEMBL984535	23
CHEMBL5731263	23
CHEMBL5736066	23
CHEMBL682905	23
CHEMBL4376105	23
CHEMBL4825561	23
CHEMBL4012201	23
CHEMBL3888930	23
CHEMBL3755637	23
CHEMBL4157558	22
CHEMBL3869650	22
CHEMBL4004312	22
CHEMBL4057949	22
CHEMBL3611641	22
CHEMBL3602726	22
CHEMBL4251894	22
CHEMBL1275178	22
CHEMBL1786160	22
CHEMBL1071416	22
CHEMBL1024606	22
CHEMBL1024607	22
CHEMBL1020710	22
CHEMBL1020711	22
CHEMBL1764797	22
CHEMBL2186472	22
CHEMBL3119938	22
CHEMBL3119942	22
CHEMBL3366645	22
CHEMBL3383394	22
CHEMBL5320697	22
CHEMBL5252388	22
CHEMBL4841563	22
CHEMBL4414323	22
CHEMBL944378	22
CHEMBL949251	22
CHEMBL924360	22
CHEMBL866525	22
CHEMBL867368	22
CHEMBL682313	22
CHEMBL767061	22
CHEMBL5737001	22
CHEMBL785241	22
CHEMBL770456	21
CHEMBL660040	21
CHEMBL5735887	21
CHEMBL2379703	21
CHEMBL2318058	21
CHEMBL2346009	21
CHEMBL3223963	21
CHEMBL3240911	21
CHEMBL3395117	21
CHEMBL3387119	21
CHEMBL2444437	21
CHEMBL4260925	21
CHEMBL4047735	21
CHEMBL4188738	21
CHEMBL3866778	21
CHEMBL3866779	21
CHEMBL3866780	21
CHEMBL3607786	21
CHEMBL1838283	21
CHEMBL1780626	21
CHEMBL1293148	21
CHEMBL1943910	21
CHEMBL2013360	21
CHEMBL2020695	21
CHEMBL1225828	21
CHEMBL832277	21
CHEMBL819364	21
CHEMBL972465	21
CHEMBL910704	21
CHEMBL4810581	21
CHEMBL4619017	21
CHEMBL4433750	21
CHEMBL4723228	21
CHEMBL4724814	21
CHEMBL4671572	20
CHEMBL5034164	20
CHEMBL4195906	20
CHEMBL4188047	20
CHEMBL4137526	20
CHEMBL3858850	20
CHEMBL3804567	20
CHEMBL5588210	20
CHEMBL654396	20
CHEMBL2318750	20
CHEMBL3226599	20
CHEMBL3404543	20
CHEMBL3404544	20
CHEMBL5389101	20
CHEMBL5146134	20
CHEMBL5147704	20
CHEMBL5133360	20
CHEMBL1061548	20
CHEMBL1764269	20
CHEMBL1919743	20
CHEMBL1781193	20
CHEMBL1108890	20
CHEMBL2034394	20
CHEMBL1001516	20
CHEMBL889315	20
CHEMBL976148	20
CHEMBL981950	20
CHEMBL962058	20
CHEMBL962059	20
CHEMBL963244	20
CHEMBL989030	20
CHEMBL841905	20
CHEMBL886903	19
CHEMBL956578	19
CHEMBL816205	19
CHEMBL5730898	19
CHEMBL5734655	19
CHEMBL4775388	19
CHEMBL4326143	19
CHEMBL4623819	19
CHEMBL4701493	19
CHEMBL3610296	19
CHEMBL3611367	19
CHEMBL3598727	19
CHEMBL3994269	19
CHEMBL4051672	19
CHEMBL1022012	19
CHEMBL1762952	19
CHEMBL1063073	19
CHEMBL1051852	19
CHEMBL1648352	19
CHEMBL2044875	19
CHEMBL1219226	19
CHEMBL1219227	19
CHEMBL2350555	19
CHEMBL2338825	19
CHEMBL2411001	19
CHEMBL2073369	19
CHEMBL2214096	19
CHEMBL3396464	19
CHEMBL5152033	19
CHEMBL5160040	19
CHEMBL5252391	19
CHEMBL5531274	19
CHEMBL5578846	19
CHEMBL5097928	18
CHEMBL5357868	18
CHEMBL4704019	18
CHEMBL4706796	18
CHEMBL4701902	18
CHEMBL4367272	18
CHEMBL923046	18
CHEMBL954169	18
CHEMBL976416	18
CHEMBL5738029	18
CHEMBL772772	18
CHEMBL3377656	18
CHEMBL3129034	18
CHEMBL4017815	18
CHEMBL4019656	18
CHEMBL4143975	18
CHEMBL4195200	18
CHEMBL4224424	18
CHEMBL4224584	18
CHEMBL3880655	18
CHEMBL1064182	18
CHEMBL1036648	18
CHEMBL1816746	18
CHEMBL1913067	18
CHEMBL2021109	18
CHEMBL2039336	18
CHEMBL2013363	17
CHEMBL2061641	17
CHEMBL1039568	17
CHEMBL1176236	17
CHEMBL1060931	17
CHEMBL1074123	17
CHEMBL1074124	17
CHEMBL1820233	17
CHEMBL1826877	17
CHEMBL948532	17
CHEMBL899624	17
CHEMBL854892	17
CHEMBL897699	17
CHEMBL5105654	17
CHEMBL5055693	17
CHEMBL5097926	17
CHEMBL5393330	17
CHEMBL5351164	17
CHEMBL5351165	17
CHEMBL5323638	17
CHEMBL4669217	17
CHEMBL3865333	17
CHEMBL3880649	17
CHEMBL3880652	17
CHEMBL3880653	17
CHEMBL3880654	17
CHEMBL3811489	17
CHEMBL3813329	17
CHEMBL4186330	17
CHEMBL4056897	17
CHEMBL691014	17
CHEMBL5731991	17
CHEMBL5732990	17
CHEMBL2411100	17
CHEMBL2437987	17
CHEMBL2168045	17
CHEMBL2150564	17
CHEMBL2390341	17
CHEMBL2404197	17
CHEMBL3268715	17
CHEMBL3090534	16
CHEMBL3413736	16
CHEMBL2216275	16
CHEMBL2168569	16
CHEMBL5513838	16
CHEMBL5249646	16
CHEMBL5360237	16
CHEMBL5393312	16
CHEMBL5393329	16
CHEMBL1820401	16
CHEMBL1820402	16
CHEMBL1111711	16
CHEMBL1119163	16
CHEMBL1177037	16
CHEMBL1958785	16
CHEMBL2033879	16
CHEMBL1022593	16
CHEMBL1055593	16
CHEMBL1292296	16
CHEMBL1293077	16
CHEMBL854534	16
CHEMBL854890	16
CHEMBL933193	16
CHEMBL771384	16
CHEMBL5732140	16
CHEMBL5734332	16
CHEMBL5735720	16
CHEMBL5736241	16
CHEMBL5738851	16
CHEMBL5730850	16
CHEMBL4393244	16
CHEMBL4604972	16
CHEMBL4431053	16
CHEMBL4766130	16
CHEMBL4675676	16
CHEMBL4623822	16
CHEMBL4615929	16
CHEMBL4122825	16
CHEMBL4122826	16
CHEMBL4022285	16
CHEMBL4030710	16
CHEMBL3887159	16
CHEMBL3888917	16
CHEMBL3870967	16
CHEMBL3767785	16
CHEMBL3806757	16
CHEMBL3813326	16
CHEMBL3602620	16
CHEMBL4200746	16
CHEMBL4199970	15
CHEMBL4199971	15
CHEMBL3883128	15
CHEMBL4124683	15
CHEMBL4033008	15
CHEMBL4036596	15
CHEMBL4011543	15
CHEMBL3801624	15
CHEMBL4315950	15
CHEMBL1291160	15
CHEMBL2032544	15
CHEMBL1961127	15
CHEMBL2051348	15
CHEMBL1047805	15
CHEMBL1048092	15
CHEMBL1027247	15
CHEMBL2187790	15
CHEMBL2209547	15
CHEMBL3090651	15
CHEMBL3223680	15
CHEMBL3361754	15
CHEMBL3418525	15
CHEMBL2319031	15
CHEMBL5319832	15
CHEMBL5365659	15
CHEMBL5135948	15
CHEMBL5239937	15
CHEMBL5259045	15
CHEMBL4629713	15
CHEMBL5039199	15
CHEMBL4706009	15
