assay_chembl_id	cell_name	cell_description	cell_source_organism	cell_source_tissue
CHEMBL933622	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933623	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL921541	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL921542	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL921543	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL921544	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL929283	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL929284	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL933616	Oocyte	Ooctyes	Xenopus laevis	NULL
CHEMBL927950	NULL	NULL	NULL	NULL
CHEMBL925955	NULL	NULL	NULL	NULL
CHEMBL932572	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL929420	NULL	NULL	NULL	NULL
CHEMBL929421	NULL	NULL	NULL	NULL
CHEMBL934640	NULL	NULL	NULL	NULL
CHEMBL930350	NULL	NULL	NULL	NULL
CHEMBL1021907	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL1020033	HEL	HEL (Embryonic lung cells)	Homo sapiens	Erythroleukemia
CHEMBL981950	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL982875	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL986351	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL984727	NULL	NULL	NULL	NULL
CHEMBL993590	NULL	NULL	NULL	NULL
CHEMBL948532	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL944218	NULL	NULL	NULL	NULL
CHEMBL945222	NULL	NULL	NULL	NULL
CHEMBL947435	NULL	NULL	NULL	NULL
CHEMBL952419	NULL	NULL	NULL	NULL
CHEMBL939609	NULL	NULL	NULL	NULL
CHEMBL950430	NULL	NULL	NULL	NULL
CHEMBL940379	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL944326	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL948485	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL943380	NULL	NULL	NULL	NULL
CHEMBL944378	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL949428	NULL	NULL	NULL	NULL
CHEMBL1008907	NULL	NULL	NULL	NULL
CHEMBL1006977	NULL	NULL	NULL	NULL
CHEMBL1007876	NULL	NULL	NULL	NULL
CHEMBL1004593	NULL	NULL	NULL	NULL
CHEMBL1006160	NULL	NULL	NULL	NULL
CHEMBL1008798	NULL	NULL	NULL	NULL
CHEMBL1002098	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL1003701	NULL	NULL	NULL	NULL
CHEMBL967818	NULL	NULL	NULL	NULL
CHEMBL967819	NULL	NULL	NULL	NULL
CHEMBL1021966	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL1014963	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL1015853	NULL	NULL	NULL	NULL
CHEMBL1021997	NULL	NULL	NULL	NULL
CHEMBL1022012	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL1022018	NULL	NULL	NULL	NULL
CHEMBL1022019	NULL	NULL	NULL	NULL
CHEMBL968700	NULL	NULL	NULL	NULL
CHEMBL968701	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL972461	NULL	NULL	NULL	NULL
CHEMBL972465	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL970460	NULL	NULL	NULL	NULL
CHEMBL1009664	NULL	NULL	NULL	NULL
CHEMBL1017620	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL975252	NULL	NULL	NULL	NULL
CHEMBL976148	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL976158	NULL	NULL	NULL	NULL
CHEMBL993708	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL985007	NULL	NULL	NULL	NULL
