assay_chembl_id	cell_name	cell_description	cell_source_organism	cell_source_tissue
CHEMBL828008	NULL	NULL	NULL	NULL
CHEMBL827917	NULL	NULL	NULL	NULL
CHEMBL829261	NULL	NULL	NULL	NULL
CHEMBL829377	NULL	NULL	NULL	NULL
CHEMBL827807	NULL	NULL	NULL	NULL
CHEMBL827842	NULL	NULL	NULL	NULL
CHEMBL829576	NULL	NULL	NULL	NULL
CHEMBL832717	NULL	NULL	NULL	NULL
CHEMBL828432	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL827704	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL829152	NULL	NULL	NULL	NULL
CHEMBL832277	NULL	NULL	NULL	NULL
CHEMBL832278	NULL	NULL	NULL	NULL
CHEMBL830651	NULL	NULL	NULL	NULL
CHEMBL831576	NULL	NULL	NULL	NULL
CHEMBL830529	NULL	NULL	NULL	NULL
CHEMBL835271	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL836212	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL834953	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL834175	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL826271	NULL	NULL	NULL	NULL
CHEMBL882919	NULL	NULL	NULL	NULL
CHEMBL882589	NULL	NULL	NULL	NULL
CHEMBL859701	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL868799	NULL	NULL	NULL	NULL
CHEMBL862040	NULL	NULL	NULL	NULL
CHEMBL858932	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL861279	NULL	NULL	NULL	NULL
CHEMBL860568	NULL	NULL	NULL	NULL
CHEMBL865929	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL866525	NULL	NULL	NULL	NULL
CHEMBL866526	NULL	NULL	NULL	NULL
CHEMBL866509	NULL	NULL	NULL	NULL
CHEMBL867172	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL865567	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL865568	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL865594	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL859790	NULL	NULL	NULL	NULL
CHEMBL859791	NULL	NULL	NULL	NULL
CHEMBL868863	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL868944	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL868945	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL869626	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL861216	NULL	NULL	NULL	NULL
CHEMBL868467	NULL	NULL	NULL	NULL
CHEMBL870781	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL865039	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL853270	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL853272	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL862268	NULL	NULL	NULL	NULL
CHEMBL871230	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL870149	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL861449	NULL	NULL	NULL	NULL
CHEMBL868204	NULL	NULL	NULL	NULL
CHEMBL868205	NULL	NULL	NULL	NULL
CHEMBL870188	NULL	NULL	NULL	NULL
CHEMBL866681	NULL	NULL	NULL	NULL
CHEMBL867451	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL865554	NULL	NULL	NULL	NULL
CHEMBL864914	NULL	NULL	NULL	NULL
CHEMBL870286	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL870287	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL870536	NULL	NULL	NULL	NULL
CHEMBL854534	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL854582	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL864238	NULL	NULL	NULL	NULL
CHEMBL864852	CHO	CHO (Ovarian cells)	Cricetulus griseus	Ovarian cells
CHEMBL867936	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL867939	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL867368	NULL	NULL	NULL	NULL
CHEMBL869182	NULL	NULL	NULL	NULL
CHEMBL869183	NULL	NULL	NULL	NULL
CHEMBL869184	NULL	NULL	NULL	NULL
CHEMBL864202	NULL	NULL	NULL	NULL
CHEMBL864204	NULL	NULL	NULL	NULL
CHEMBL869839	NULL	NULL	NULL	NULL
CHEMBL869841	NULL	NULL	NULL	NULL
CHEMBL906898	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL906899	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL906900	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL908639	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL855890	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL908645	NULL	NULL	NULL	NULL
CHEMBL869869	HEK293	HEK293 (Embryonic kidney fibroblasts)	Homo sapiens	Embryonic kidney fibroblasts
CHEMBL909940	NULL	NULL	NULL	NULL
