target_chembl_id	tid	tax_id	target_type	pref_name	organism	uniprot_accession	protein_description	gene_name
CHEMBL2830	17056	9986.0	SINGLE PROTEIN	Voltage-dependent L-type calcium channel subunit alpha-1C	Oryctolagus cuniculus	P15381	Voltage-dependent L-type calcium channel subunit alpha-1C	CACNA1C
CHEMBL3085616	107964	9615.0	SINGLE PROTEIN	Voltage-gated inwardly rectifying potassium channel KCNH2	Canis familiaris	Q9TSZ3	Voltage-gated inwardly rectifying potassium channel KCNH2	KCNH2
CHEMBL3430890	109647	9606.0	PROTEIN COMPLEX	Voltage-gated potassium channel subunit Kv7.1/Misshapen-like kinase 1	Homo sapiens	P51787;Q8N4C8	Misshapen-like kinase 1;Potassium voltage-gated channel subfamily KQT member 1	KCNQ1;MINK1
CHEMBL3638171	109926	9986.0	PROTEIN COMPLEX	L-type calcium channel alpha 1C/beta 2A	Oryctolagus cuniculus	P15381;P54288	Voltage-dependent L-type calcium channel subunit alpha-1C;Voltage-dependent L-type calcium channel subunit beta-2	CACNA1C;CACNB2
CHEMBL3762	10514	10116.0	SINGLE PROTEIN	Voltage-dependent L-type calcium channel subunit alpha-1C	Rattus norvegicus	P22002	Voltage-dependent L-type calcium channel subunit alpha-1C	Cacna1c
CHEMBL3808271	116798	9615.0	SINGLE PROTEIN	Voltage-gated sodium channel Nav1.5 cardiac isoform	Canis lupus familiaris	Q5YLN7	Voltage-gated sodium channel Nav1.5 cardiac isoform	SCN5A
CHEMBL3866	12606	10116.0	SINGLE PROTEIN	Sodium channel protein type 5 subunit alpha	Rattus norvegicus	P15389	Sodium channel protein type 5 subunit alpha	Scn5a
CHEMBL3885598	117142	9606.0	PROTEIN COMPLEX	Kv channel-interacting protein 2/Potassium voltage-gated channel subfamily D member 3	Homo sapiens	Q9NS61;Q9UK17	A-type potassium channel modulatory protein KCNIP2;A-type voltage-gated potassium channel KCND3	KCND3;KCNIP2
CHEMBL3988638	117292	9606.0	PROTEIN COMPLEX	Voltage-dependent L-type calcium channel alpha1C/alpha2delta/beta1b	Homo sapiens	P54289;Q02641;Q13936	Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent L-type calcium channel subunit alpha-1C;Voltage-dependent L-type calcium channel subunit beta-1	CACNA1C;CACNA2D1;CACNB1
CHEMBL4106164	117734	9606.0	PROTEIN COMPLEX	L-type calcium channel alpha-1c/beta-2/alpha2delta-1	Homo sapiens	P54289;Q08289;Q13936	Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent L-type calcium channel subunit alpha-1C;Voltage-dependent L-type calcium channel subunit beta-2	CACNA1C;CACNA2D1;CACNB2
CHEMBL4523669	119386	9606.0	PROTEIN COMPLEX	SCN5A/SCN1B	Homo sapiens	Q07699;Q14524	Sodium channel protein type 5 subunit alpha;Sodium channel regulatory subunit beta-1	SCN1B;SCN5A
CHEMBL4630763	119882	9606.0	PROTEIN COMPLEX	Sodium channel protein type 5 subunit alpha/beta-1/beta-2	Homo sapiens	O60939;Q07699;Q14524	Sodium channel protein type 5 subunit alpha;Sodium channel regulatory subunit beta-1;Sodium channel regulatory subunit beta-2	SCN1B;SCN2B;SCN5A
CHEMBL4630764	119883	10090.0	PROTEIN COMPLEX	Sodium channel protein type 5 subunit alpha/beta-1/beta-2	Mus musculus	P97952;Q56A07;Q9JJV9	Sodium channel protein type 5 subunit alpha;Sodium channel regulatory subunit beta-1;Sodium channel regulatory subunit beta-2	Scn1b;Scn2b;Scn5a
CHEMBL5135	10011	10141.0	SINGLE PROTEIN	Potassium voltage-gated channel subfamily KQT member 1	Cavia porcellus	O70344	Potassium voltage-gated channel subfamily KQT member 1	KCNQ1
CHEMBL5557	101236	10141.0	SINGLE PROTEIN	Voltage-gated inwardly rectifying potassium channel KCNH2	Cavia porcellus	O08703	Voltage-gated inwardly rectifying potassium channel KCNH2	KCNH2
CHEMBL6066567	122448	9606.0	PROTEIN COMPLEX	Voltage-dependent L-type calcium channel subunit alpha-1C/L-type calcium channel subunit beta-3/calcium channel subunit alpha-2/delta-1	Homo sapiens	P54284;P54289;Q13936	Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent L-type calcium channel subunit alpha-1C;Voltage-dependent L-type calcium channel subunit beta-3	CACNA1C;CACNA2D1;CACNB3
