year	document_chembl_id
2008.0	CHEMBL1155842
2008.0	CHEMBL1155858
2008.0	CHEMBL1155867
2008.0	CHEMBL1155868
2008.0	CHEMBL1155886
2008.0	CHEMBL1155900
2008.0	CHEMBL1155906
2008.0	CHEMBL1156554
2008.0	CHEMBL1156565
2008.0	CHEMBL1156633
2008.0	CHEMBL1156734
2008.0	CHEMBL1157430
2008.0	CHEMBL1157462
2008.0	CHEMBL1157476
2008.0	CHEMBL1157483
2008.0	CHEMBL1157496
2008.0	CHEMBL1157515
2008.0	CHEMBL1157525
2008.0	CHEMBL1157535
2008.0	CHEMBL1144191
2008.0	CHEMBL1144211
2008.0	CHEMBL1142492
2008.0	CHEMBL1142499
2008.0	CHEMBL1142515
2008.0	CHEMBL1151747
2008.0	CHEMBL1152152
2008.0	CHEMBL1152163
2008.0	CHEMBL1152177
2008.0	CHEMBL1152205
2008.0	CHEMBL1152208
2009.0	CHEMBL1139268
2009.0	CHEMBL1139344
2009.0	CHEMBL1139353
2009.0	CHEMBL1139370
2008.0	CHEMBL1139413
2008.0	CHEMBL1139415
2008.0	CHEMBL1140078
2008.0	CHEMBL1140081
2008.0	CHEMBL1140111
2008.0	CHEMBL1140120
2008.0	CHEMBL1140127
2008.0	CHEMBL1140141
2008.0	CHEMBL1140155
2008.0	CHEMBL1140162
2008.0	CHEMBL1140166
2009.0	CHEMBL1140918
2009.0	CHEMBL1140923
2009.0	CHEMBL1140927
2009.0	CHEMBL1140953
2008.0	CHEMBL1141007
2009.0	CHEMBL1141029
2009.0	CHEMBL1143329
2009.0	CHEMBL1143380
2008.0	CHEMBL1141692
2008.0	CHEMBL1141693
2008.0	CHEMBL1141701
2008.0	CHEMBL1152277
2008.0	CHEMBL1152282
2008.0	CHEMBL1152288
2008.0	CHEMBL1152295
2009.0	CHEMBL1152710
2009.0	CHEMBL1152728
2009.0	CHEMBL1152762
2009.0	CHEMBL1152811
2009.0	CHEMBL1152812
2009.0	CHEMBL1152875
2009.0	CHEMBL1152883
2009.0	CHEMBL1153277
2009.0	CHEMBL1153304
2009.0	CHEMBL1153351
2009.0	CHEMBL1153362
2009.0	CHEMBL1153427
2009.0	CHEMBL1153958
2009.0	CHEMBL1153974
2009.0	CHEMBL1153978
2009.0	CHEMBL1153986
2009.0	CHEMBL1154397
2008.0	CHEMBL1154445
2009.0	CHEMBL1136848
2009.0	CHEMBL1136869
2009.0	CHEMBL1136872
2009.0	CHEMBL1136885
2009.0	CHEMBL1136886
2009.0	CHEMBL1136941
2009.0	CHEMBL1136951
2009.0	CHEMBL1136958
2009.0	CHEMBL1137005
2009.0	CHEMBL1137011
2009.0	CHEMBL1137751
2009.0	CHEMBL1137783
2009.0	CHEMBL1138441
2009.0	CHEMBL1138485
2009.0	CHEMBL1138521
2009.0	CHEMBL1138528
2009.0	CHEMBL1138582
2009.0	CHEMBL1138584
2009.0	CHEMBL1138586
2009.0	CHEMBL1138602
2009.0	CHEMBL1138611
2009.0	CHEMBL1158414
2009.0	CHEMBL1158452
2009.0	CHEMBL1158455
2009.0	CHEMBL1158463
2009.0	CHEMBL1158476
2009.0	CHEMBL1151858
2009.0	CHEMBL1151935
2009.0	CHEMBL1152333
2009.0	CHEMBL1152393
2009.0	CHEMBL1152400
2009.0	CHEMBL1152417
2009.0	CHEMBL1152437
2009.0	CHEMBL1152438
2009.0	CHEMBL1152446
2009.0	CHEMBL1152451
2009.0	CHEMBL1152970
2009.0	CHEMBL1152349
2009.0	CHEMBL1152368
2009.0	CHEMBL1152381
2009.0	CHEMBL1152385
2009.0	CHEMBL1153045
2009.0	CHEMBL1153053
2009.0	CHEMBL1153056
2009.0	CHEMBL1153063
2009.0	CHEMBL1153075
2009.0	CHEMBL1153458
2009.0	CHEMBL1153467
2009.0	CHEMBL1153470
2009.0	CHEMBL1153484
2009.0	CHEMBL1153519
2009.0	CHEMBL1153520
2009.0	CHEMBL1153522
2009.0	CHEMBL1153532
2009.0	CHEMBL1153627
2009.0	CHEMBL1154013
2009.0	CHEMBL1154038
2009.0	CHEMBL1154085
2009.0	CHEMBL1154162
