assay_chembl_id	document_chembl_id
CHEMBL3635627	CHEMBL3632504
CHEMBL835271	CHEMBL1140272
CHEMBL869839	CHEMBL1146860
CHEMBL1260557	CHEMBL1255556
CHEMBL859791	CHEMBL1146078
CHEMBL3869577	CHEMBL3868610
CHEMBL2014817	CHEMBL2010696
CHEMBL1227350	CHEMBL1221236
CHEMBL2330319	CHEMBL2321744
CHEMBL3430347	CHEMBL3430320
CHEMBL3411134	CHEMBL3407422
CHEMBL3707744	CHEMBL3638380
CHEMBL5735756	CHEMBL5727959
CHEMBL5530017	CHEMBL5528049
CHEMBL4190649	CHEMBL4190175
CHEMBL3407237	CHEMBL3400138
CHEMBL5535168	CHEMBL5532677
CHEMBL3430375	CHEMBL3430320
CHEMBL3268691	CHEMBL3259628
CHEMBL4679979	CHEMBL4673406
CHEMBL3998583	CHEMBL3997782
CHEMBL4275853	CHEMBL4270643
CHEMBL3783770	CHEMBL3779872
CHEMBL3638164	CHEMBL3638030
CHEMBL3266593	CHEMBL3259663
CHEMBL3365839	CHEMBL3352242
CHEMBL5374375	CHEMBL5370643
CHEMBL4365035	CHEMBL4364254
CHEMBL4673071	CHEMBL4665914
CHEMBL5153896	CHEMBL5150064
CHEMBL3241658	CHEMBL3232922
CHEMBL767236	CHEMBL1136064
CHEMBL4428920	CHEMBL4428053
CHEMBL4370906	CHEMBL4368940
CHEMBL3744630	CHEMBL3739276
CHEMBL4700516	CHEMBL4699433
CHEMBL939609	CHEMBL1157496
CHEMBL3390672	CHEMBL3352194
CHEMBL5391122	CHEMBL5390224
CHEMBL703975	CHEMBL1128175
CHEMBL925855	CHEMBL1147066
CHEMBL3594979	CHEMBL3593175
CHEMBL1772125	CHEMBL1770088
CHEMBL3436116	CHEMBL3436046
CHEMBL5100515	CHEMBL5096243
CHEMBL4256639	CHEMBL4251746
CHEMBL5160351	CHEMBL5154771
CHEMBL2415345	CHEMBL2412957
CHEMBL3430507	CHEMBL3430320
CHEMBL1007470	CHEMBL1136941
CHEMBL3386699	CHEMBL3351398
CHEMBL1010978	CHEMBL1153362
CHEMBL3616110	CHEMBL3611968
CHEMBL5374777	CHEMBL5370650
CHEMBL4122742	CHEMBL4118159
CHEMBL3755246	CHEMBL3751729
CHEMBL5239940	CHEMBL5236628
CHEMBL4882500	CHEMBL4507283
CHEMBL4769906	CHEMBL4765317
CHEMBL1932785	CHEMBL1926646
CHEMBL4329869	CHEMBL4325924
CHEMBL4036195	CHEMBL4033714
CHEMBL5117065	CHEMBL5113453
CHEMBL4357703	CHEMBL4354842
CHEMBL3812630	CHEMBL3808377
CHEMBL3224838	CHEMBL3217700
CHEMBL1837361	CHEMBL1833912
CHEMBL4392943	CHEMBL4392823
CHEMBL4709270	CHEMBL4706533
CHEMBL5578846	CHEMBL5576137
CHEMBL3430621	CHEMBL3430321
CHEMBL5318500	CHEMBL5316312
CHEMBL4707513	CHEMBL4706482
CHEMBL2443479	CHEMBL2439970
CHEMBL5318818	CHEMBL5316317
CHEMBL4689504	CHEMBL4680358
CHEMBL1022012	CHEMBL1138584
CHEMBL4134825	CHEMBL4130473
CHEMBL5147691	CHEMBL5143670
CHEMBL4341371	CHEMBL4340527
CHEMBL3390670	CHEMBL3352194
CHEMBL5225022	CHEMBL5223125
CHEMBL2020695	CHEMBL2016495
CHEMBL4180169	CHEMBL4177611
CHEMBL4309890	CHEMBL4308843
CHEMBL3430710	CHEMBL3430320
CHEMBL3744162	CHEMBL3739263
CHEMBL4331794	CHEMBL4330091
CHEMBL4305297	CHEMBL4304746
CHEMBL4046487	CHEMBL4043185
